site,lat,WI,residWI,sd_WI,sdresidWI,sitesd_hh,sitemean_pp,sitesd_pp,meanMhab,meanSDhab
CTP,32.929,6.794871795,0.993064516,3.077094009,2.522342546,25.52171925,58.33333333,16.1439276,14.25,22.03733343
CSO,33.3808,11.28571429,0.904096004,2.799481074,2.607572522,26.92832293,66.07142857,19.979933,12.71428571,20.99533158
CHB,33.6325,9.888888889,2.004886961,2.007298671,1.780806275,40.39179185,80.625,12.4947468,48.625,41.37971587
CSB,34.2679,6.8125,0.640499262,2.932684383,2.348450197,40.26313409,79,15.83259742,55.75,32.01856323
CCO,34.412,8.688888889,-0.306254897,3.168028273,2.459669408,32.8825787,58.83333333,19.32950475,38.83333333,31.10342399
CMO,35.3658,11.16666667,1.607159698,3.751387129,3.259888996,33.0454485,55,20.56255801,57.83666667,27.40219871
CAS,36.6189,11.71666667,1.409983985,4.847051908,3.766831951,35.01508144,77.83333333,13.18959152,56.96666667,29.36821366
CMN,36.9228,11.05263158,-1.06239165,4.301930824,3.410746271,45.33967349,80.6,18.64828113,45.925,46.23015416
CPR,38.0309,11.9047619,-0.242890828,3.300792115,2.605417054,43.58414508,83,13.86657417,34.76666667,42.34895309
CDB,38.3143,8.770114943,-0.110437799,2.877472226,2.296737008,36.35367224,80.5,18.51672562,75.23333333,31.69054129
CMC,38.9827,7.178571429,-0.761596651,2.005045569,2.070650444,45.99612436,92.16666667,11.3429851,42.55,44.79741554
CLR,41.0274,6.285714286,-1.308925315,1.807787061,1.700935596,35.53441474,82.16666667,13.06176174,68.3,33.54086455
CGB,41.3618,5.392156863,-1.99504855,2.061077714,1.679630606,22.68013424,96.85714286,6.677107275,85,20.31711091
OPO,42.7412,5.435897436,-1.208894328,1.680585161,1.629526017,36.34913874,80.91666667,10.5962764,24.16666667,38.49722367